epoch,quote,bid,ask,recv_ts
1783266682,2805.928,2805.908,2805.948,1783266682.167
1783266683,2805.932,2805.912,2805.952,1783266683.124
1783266684,2805.939,2805.919,2805.959,1783266684.162
1783266685,2805.949,2805.929,2805.969,1783266685.128
1783266686,2805.957,2805.937,2805.976,1783266686.149
1783266687,2805.964,2805.944,2805.983,1783266687.114
1783266688,2805.965,2805.945,2805.985,1783266688.133
1783266689,2805.967,2805.947,2805.986,1783266689.116
1783266690,2805.975,2805.956,2805.995,1783266690.149
1783266691,2805.976,2805.956,2805.995,1783266691.116
1783266692,2805.979,2805.96,2805.999,1783266692.150
1783266693,2805.99,2805.971,2806.01,1783266693.138
1783266694,2805.992,2805.972,2806.012,1783266694.148
1783266695,2806.002,2805.982,2806.022,1783266695.114
1783266696,2806.01,2805.99,2806.03,1783266696.141
1783266697,2806.02,2806,2806.04,1783266697.120
1783266698,2806.021,2806.001,2806.04,1783266698.204
1783266699,2806.026,2806.006,2806.046,1783266699.117
1783266700,2806.027,2806.008,2806.047,1783266700.143
1783266701,2806.034,2806.015,2806.054,1783266701.111
1783266702,2806.04,2806.02,2806.059,1783266702.144
1783266703,2806.042,2806.022,2806.062,1783266703.119
1783266704,2806.05,2806.03,2806.07,1783266704.139
1783266705,2806.051,2806.031,2806.07,1783266705.113
1783266706,2806.056,2806.036,2806.076,1783266706.151
1783266707,2806.06,2806.041,2806.08,1783266707.114
1783266708,2806.067,2806.047,2806.087,1783266708.138
1783266709,2806.08,2806.06,2806.099,1783266709.130
1783266710,2806.089,2806.07,2806.109,1783266710.140
1783266711,2806.091,2806.071,2806.11,1783266711.134
1783266712,2806.093,2806.073,2806.112,1783266712.158
1783266713,2806.097,2806.078,2806.117,1783266713.114
1783266714,2806.103,2806.083,2806.122,1783266714.143
1783266715,2806.104,2806.084,2806.124,1783266715.127
1783266716,2806.108,2806.088,2806.128,1783266716.173
1783266717,2806.111,2806.092,2806.131,1783266717.112
1783266718,2806.113,2806.093,2806.132,1783266718.164
1783266719,2806.117,2806.097,2806.137,1783266719.129
1783266720,2806.117,2806.098,2806.137,1783266720.202
1783266721,2806.121,2806.101,2806.14,1783266721.132
1783266722,2806.125,2806.105,2806.144,1783266722.274
1783266723,2806.129,2806.109,2806.148,1783266723.123
1783266724,2806.129,2806.109,2806.149,1783266724.229
1783266725,2806.133,2806.113,2806.153,1783266725.128
1783266726,2806.135,2806.116,2806.155,1783266726.136
1783266727,2806.144,2806.125,2806.164,1783266727.119
1783266728,2806.148,2806.128,2806.168,1783266728.201
1783266729,2806.148,2806.129,2806.168,1783266729.120
1783266730,2806.159,2806.14,2806.179,1783266730.125
1783266731,2806.17,2806.15,2806.19,1783266731.123
1783266732,2806.177,2806.157,2806.197,1783266732.150
1783266733,2806.181,2806.161,2806.2,1783266733.109
1783266734,2806.188,2806.169,2806.208,1783266734.155
1783266735,2806.19,2806.171,2806.21,1783266735.124
1783266736,2806.194,2806.174,2806.213,1783266736.137
1783266737,2806.196,2806.176,2806.216,1783266737.120
1783266738,2806.205,2806.185,2806.224,1783266738.146
1783266739,2806.211,2806.191,2806.23,1783266739.130
1783266740,2806.22,2806.201,2806.24,1783266740.141
1783266741,2806.225,2806.205,2806.244,1783266741.131
1783266742,2806.231,2806.211,2806.25,1783266742.141
1783266743,2806.237,2806.217,2806.256,1783266743.125
1783266744,2806.239,2806.219,2806.258,1783266744.171
1783266745,2806.242,2806.223,2806.262,1783266745.129
1783266746,2806.245,2806.225,2806.264,1783266746.146
1783266747,2806.25,2806.231,2806.27,1783266747.122
1783266748,2806.254,2806.234,2806.273,1783266748.173
1783266749,2806.257,2806.237,2806.276,1783266749.129
1783266750,2806.264,2806.245,2806.284,1783266750.153
1783266751,2806.265,2806.245,2806.284,1783266751.120
1783266752,2806.267,2806.247,2806.287,1783266752.137
1783266753,2806.275,2806.256,2806.295,1783266753.124
1783266754,2806.277,2806.257,2806.296,1783266754.165
1783266755,2806.289,2806.269,2806.309,1783266755.129
1783266756,2806.291,2806.271,2806.31,1783266756.138
1783266757,2806.293,2806.274,2806.313,1783266757.121
